name,surname,URI
CARLO MARIA,DESPINE,http://dati.camera.it/ocd/persona.rdf/pr239
LUIGI FEDERICO,MENABREA,http://dati.camera.it/ocd/persona.rdf/pr241
LUIGI CARLO,FARINI,http://dati.camera.it/ocd/persona.rdf/pr2467
ALFONSO,LA MARMORA (FERRERO),http://dati.camera.it/ocd/persona.rdf/pr2629
LUIGI AMEDEO,MELEGARI,http://dati.camera.it/ocd/persona.rdf/pr3104
LUIGI,NAZARI DI CALABIANA,http://dati.camera.it/ocd/persona.rdf/pr10019
GIOVANNI,NIGRA,http://dati.camera.it/ocd/persona.rdf/pr10027
VITTORIO AMEDEO,SALLIER DELLA TORRE,http://dati.camera.it/ocd/persona.rdf/pr10261
GIUSEPPE,SICCARDI,http://dati.camera.it/ocd/persona.rdf/pr10330
GUSTAVO,PONZA DI SAN MARTINO,http://dati.camera.it/ocd/persona.rdf/pr195
TERENZIO,MAMIANI DELLA ROVERE,http://dati.camera.it/ocd/persona.rdf/pr200
CESARE,BALBO,http://dati.camera.it/ocd/persona.rdf/pr207
AGOSTINO,DEPRETIS,http://dati.camera.it/ocd/persona.rdf/pr2204
OTTAVIO,THAON DI REVEL,http://dati.camera.it/ocd/persona.rdf/pr11711
DANIELE,MANIN,http://dati.camera.it/ocd/persona.rdf/pr400
GIOACCHINO,VALERIO,http://dati.camera.it/ocd/persona.rdf/pr479
MASSIMO,D'AZEGLIO (TAPARELLI),http://dati.camera.it/ocd/persona.rdf/pr512
GIACOMO,DURANDO,http://dati.camera.it/ocd/persona.rdf/pr548
LORENZO,VALERIO,http://dati.camera.it/ocd/persona.rdf/pr553
GIUSEPPE,ALBINI,http://dati.camera.it/ocd/persona.rdf/pr9028
CESARE,ALFIERI DI SOSTEGNO,http://dati.camera.it/ocd/persona.rdf/pr9037
EMANUELE,INCISA BECCARIA,http://dati.camera.it/ocd/persona.rdf/pr9118
AGOSTINO,CHIODO,http://dati.camera.it/ocd/persona.rdf/pr9356
LUIGI GIOVANNI ANTONIO,CIBRARIO,http://dati.camera.it/ocd/persona.rdf/pr9363
GABRIELE,DE LAUNAY,http://dati.camera.it/ocd/persona.rdf/pr9482
GIUSEPPE,MANNO,http://dati.camera.it/ocd/persona.rdf/pr9881
CARLO,CADORNA,http://dati.camera.it/ocd/persona.rdf/pr557
CARLO,BON COMPAGNI DI MOMBELLO,http://dati.camera.it/ocd/persona.rdf/pr1369
PIER DIONIGI,PINELLI,http://dati.camera.it/ocd/persona.rdf/pr201
GIOVANNI,LANZA,http://dati.camera.it/ocd/persona.rdf/pr2829
LORENZO,PARETO,http://dati.camera.it/ocd/persona.rdf/pr289
URBANO,RATTAZZI,http://dati.camera.it/ocd/persona.rdf/pr3817
SEBASTIANO,TECCHIO,http://dati.camera.it/ocd/persona.rdf/pr4197
VINCENZO,GIOBERTI,http://dati.camera.it/ocd/persona.rdf/pr437
CARLO,CAVALLI,http://dati.camera.it/ocd/persona.rdf/p301004
GIACOMO,ONETO,http://dati.camera.it/ocd/persona.rdf/pr10046
BERNARDO CARLO,MOSCA,http://dati.camera.it/ocd/persona.rdf/pr10001
GIUSEPPE,MUSIO,http://dati.camera.it/ocd/persona.rdf/pr10012
GIOVANNI ANTONIO AMEDEO,PLANA,http://dati.camera.it/ocd/persona.rdf/pr10158
GIACOMO,PLEZZA,http://dati.camera.it/ocd/persona.rdf/pr10159
FERDINANDO,PRAT,http://dati.camera.it/ocd/persona.rdf/pr10177
EMANUELE,PES DI VILLAMARINA,http://dati.camera.it/ocd/persona.rdf/pr10121
CARLO ILARIONE,PETITTI BAGLIANI DI RORETO,http://dati.camera.it/ocd/persona.rdf/pr10127
AMEDEO,PEYRON,http://dati.camera.it/ocd/persona.rdf/pr10133
LORENZO,PICOLET,http://dati.camera.it/ocd/persona.rdf/pr10141
GASPARE DOMENICO,REGIS,http://dati.camera.it/ocd/persona.rdf/pr10209
ALBERTO,RICCI,http://dati.camera.it/ocd/persona.rdf/pr10216
EDOARDO GIUSEPPE,RIGNON,http://dati.camera.it/ocd/persona.rdf/pr10223
MAURIZIO,RORÀ (LUCERNA DI),http://dati.camera.it/ocd/persona.rdf/pr10237
GIACINTO,PROVANA DI COLLEGNO,http://dati.camera.it/ocd/persona.rdf/pr10183
LUIGI,PROVANA DI COLLEGNO,http://dati.camera.it/ocd/persona.rdf/pr10184
CELESTINO,QUARELLI DI LESEGNO,http://dati.camera.it/ocd/persona.rdf/pr10195
GIOVANNI ANTONIO,PAGLIACCIÙ DELLA PLANARGIA,http://dati.camera.it/ocd/persona.rdf/pr10063
IGNAZIO,PALLAVICINI,http://dati.camera.it/ocd/persona.rdf/pr10068
LODOVICO,PALLAVICINO MOSSI,http://dati.camera.it/ocd/persona.rdf/pr10070
GIROLAMO,TORNIELLI DI BORGO LAVEZZARO,http://dati.camera.it/ocd/persona.rdf/pr10408
CESARE,TRABUCCO DI CASTAGNETTO,http://dati.camera.it/ocd/persona.rdf/pr10416
AMEDEO,TEMPIA,http://dati.camera.it/ocd/persona.rdf/pr10385
LUIGI,SANVITALE,http://dati.camera.it/ocd/persona.rdf/pr10289
GIUSEPPE,STARA,http://dati.camera.it/ocd/persona.rdf/pr10356
DOMENICO,SERRA,http://dati.camera.it/ocd/persona.rdf/pr10323
GIORGIO,SERVENTI,http://dati.camera.it/ocd/persona.rdf/pr10326
ROBERTO,D'AZEGLIO (TAPARELLI),http://dati.camera.it/ocd/persona.rdf/pr11295
FRANCESCO,RICCI,http://dati.camera.it/ocd/persona.rdf/pr11312
IGNAZIO ADOLFO,PARODI,http://dati.camera.it/ocd/persona.rdf/pr11270
LORENZO,MARECHAL,http://dati.camera.it/ocd/persona.rdf/pr11250
GIUSEPPE,BELLA,http://dati.camera.it/ocd/persona.rdf/pr1102
LUIGI,BAINO,http://dati.camera.it/ocd/persona.rdf/pr1098
LODOVICO,SAULI D'IGLIANO,http://dati.camera.it/ocd/persona.rdf/pr11709
VINCENZO,BERTOLINI,http://dati.camera.it/ocd/persona.rdf/pr1172
ALESSANDRO,BIANCHI,http://dati.camera.it/ocd/persona.rdf/pr1209
ANGELO,BROFFERIO,http://dati.camera.it/ocd/persona.rdf/pr1185
ALESSANDRO,BORELLA,http://dati.camera.it/ocd/persona.rdf/pr1428
GIORGIO,ASPRONI,http://dati.camera.it/ocd/persona.rdf/pr148
