name,surname,URI
LUIGI ALFONSO,MICELI,http://dati.camera.it/ocd/persona.rdf/pr3267
GIOVANNI,NICOTERA,http://dati.camera.it/ocd/persona.rdf/pr3346
LUIGI FEDERICO,MENABREA,http://dati.camera.it/ocd/persona.rdf/pr241
GIUSEPPE,GARIBALDI,http://dati.camera.it/ocd/persona.rdf/pr2429
GIUSEPPE,GADDA,http://dati.camera.it/ocd/persona.rdf/pr2439
LUIGI CARLO,FARINI,http://dati.camera.it/ocd/persona.rdf/pr2467
FRANCESCO DOMENICO,GUERRAZZI,http://dati.camera.it/ocd/persona.rdf/pr2568
GIUSEPPE,LA FARINA,http://dati.camera.it/ocd/persona.rdf/pr2624
ALFONSO,LA MARMORA (FERRERO),http://dati.camera.it/ocd/persona.rdf/pr2629
ALESSANDRO,MANZONI,http://dati.camera.it/ocd/persona.rdf/pr272
MARCO,MINGHETTI,http://dati.camera.it/ocd/persona.rdf/pr3028
GIUSEPPE,MONTANELLI,http://dati.camera.it/ocd/persona.rdf/pr3062
LUIGI AMEDEO,MELEGARI,http://dati.camera.it/ocd/persona.rdf/pr3104
LUIGI,NAZARI DI CALABIANA,http://dati.camera.it/ocd/persona.rdf/pr10019
GIOVANNI,NIGRA,http://dati.camera.it/ocd/persona.rdf/pr10027
CARLO,PERSANO (PELLION DI),http://dati.camera.it/ocd/persona.rdf/pr10117
RUGGERO,SETTIMO,http://dati.camera.it/ocd/persona.rdf/pr10514
GIOVANNI,BARRACCO,http://dati.camera.it/ocd/persona.rdf/pr1071
NINO,BIXIO,http://dati.camera.it/ocd/persona.rdf/pr1258
CARLO,ACQUAVIVA D'ARAGONA,http://dati.camera.it/ocd/persona.rdf/pr14
GUSTAVO,PONZA DI SAN MARTINO,http://dati.camera.it/ocd/persona.rdf/pr195
FRANCESCO,DE SANCTIS,http://dati.camera.it/ocd/persona.rdf/pr1995
TERENZIO,MAMIANI DELLA ROVERE,http://dati.camera.it/ocd/persona.rdf/pr200
AGOSTINO,DEPRETIS,http://dati.camera.it/ocd/persona.rdf/pr2204
OTTAVIO,THAON DI REVEL,http://dati.camera.it/ocd/persona.rdf/pr11711
GIOACCHINO NAPOLEONE,PEPOLI,http://dati.camera.it/ocd/persona.rdf/pr3523
UBALDINO,PERUZZI,http://dati.camera.it/ocd/persona.rdf/pr3546
BETTINO,RICASOLI,http://dati.camera.it/ocd/persona.rdf/pr3695
AURELIO,SAFFI,http://dati.camera.it/ocd/persona.rdf/pr3888
